ID;Name_lang;Pos;ContinentID;AreaID;Icon;Importance
7713;Altar of the Blood Loa;-13227.900390625,229.29400634765625,33.39070129394531;0;-1;6;0
7714;Altar of the Blood Loa;-11825.7998046875,99.13059997558594,16.822099685668945;0;-1;6;0
7715;Altar of the Blood Loa;-11962.099609375,-925.4340209960938,39.96699905395508;0;-1;6;0
7716;Altar of the Blood Loa;-12720.2001953125,-489.4469909667969,28.96980094909668;0;-1;6;0
7717;Altar of the Blood Loa;-13677.7001953125,-256.2200012207031,8.077130317687988;0;-1;6;0
8451;The Agronomical Apothecary;341.1789855957031,255.83200073242188,91.57849884033203;0;0;7;0
8452;Simply Enchanting;324.4129943847656,316.4280090332031,90.00260162353516;0;0;7;0
8453;First to Your Aid;354.9209899902344,293.6310119628906,88.67579650878906;0;0;7;0
8454;Talismanic Textiles;364.8240051269531,278.2909851074219,88.40670013427734;0;0;7;0
8455;The Undaunted Feast;245.8179931640625,385.5639953613281,93.9384994506836;0;0;7;0
8456;Engineer and Far;336.9930114746094,238.68600463867188,90.74549865722656;0;0;0;0
8457;Eclipse with Shears;262.11700439453125,232.58900451660156,97.5551986694336;0;0;7;0
8458;Magical Menagerie;195.39300537109375,251.67999267578125,100.80400085449219;0;0;7;0
8768;Camp;-352.6440124511719,2108.889892578125,39.757198333740234;2997;16606;31;0
8771;Ruins;-349.66400146484375,1739.699951171875,3.9457199573516846;2997;16606;217;0
8772;Abandoned Tower;-132.0800018310547,1732.72998046875,44.035099029541016;2997;16606;150;0
8773;Shipwreck Cove;-109.12000274658203,2119.60009765625,1.0448100566864014;2997;16606;145;0
8774;Darkspear Flag;-224.73500061035156,1935.5799560546875,5.323160171508789;2997;16606;45;0
8825;Stormwind Harbor;-8573.4697265625,990.094970703125,96.30780029296875;0;0;7;0
